;temperature;humidity;time
466;18.7;59;2022-05-02 19:02:58.651810
467;18.7;53;2022-05-02 19:02:58.656761
468;18.7;58;2022-05-02 19:03:44.661819
469;18.6;58;2022-05-02 19:04:42.488859
470;18.6;57;2022-05-02 19:05:08.513792
471;18.5;57;2022-05-02 19:07:32.068742
472;20.6;57;2022-05-02 19:09:14.917266
473;20.6;56;2022-05-02 19:10:53.184410
474;18.4;56;2022-05-02 19:11:52.368273
475;18.4;54;2022-05-02 19:11:52.375315
476;20.5;54;2022-05-02 19:12:25.654915
477;20.5;55;2022-05-02 19:12:25.662439
478;20.5;55;2022-05-02 19:14:57.210687
479;18.5;55;2022-05-02 19:16:29.677004
480;18.5;54;2022-05-02 19:16:29.684822
481;18.4;54;2022-05-02 19:17:52.531719
482;18.5;54;2022-05-02 19:19:26.830174
483;18.4;54;2022-05-02 19:20:57.350895
484;18.6;54;2022-05-02 19:22:42.937734
485;18.6;57;2022-05-02 19:22:43.063778
486;18.6;58;2022-05-02 19:24:21.046624
487;20.4;58;2022-05-02 19:24:46.011849
488;18.8;58;2022-05-02 19:25:28.855202
489;19.0;58;2022-05-02 19:27:12.556786
490;19.1;58;2022-05-02 19:28:46.963572
491;19.2;58;2022-05-02 19:31:34.802703
492;19.3;58;2022-05-02 19:33:20.394637
493;19.4;58;2022-05-02 19:34:24.584940
494;19.4;59;2022-05-02 19:34:24.589773
495;19.5;59;2022-05-02 19:35:55.138595
496;19.6;59;2022-05-02 19:39:37.725583
497;19.6;60;2022-05-02 19:42:21.880766
498;19.6;56;2022-05-02 19:43:57.546215
499;19.7;56;2022-05-02 19:45:11.658919
500;19.8;56;2022-05-02 19:49:52.759805
501;19.8;61;2022-05-02 19:49:52.789712
502;19.8;57;2022-05-02 19:51:39.667834
503;19.8;58;2022-05-02 19:56:37.757985
504;19.9;58;2022-05-02 19:59:05.612550
505;19.9;62;2022-05-02 20:00:04.008955
506;20.6;62;2022-05-02 20:00:43.030988
507;20.6;61;2022-05-02 20:00:43.044930
508;20.0;61;2022-05-02 20:05:04.017608
509;19.9;61;2022-05-02 20:06:17.589038
510;20.5;61;2022-05-02 20:06:56.666937
511;20.0;61;2022-05-02 20:08:08.969110
512;20.0;63;2022-05-02 20:08:08.974639
513;20.1;63;2022-05-02 20:10:58.739650
514;20.1;64;2022-05-02 20:12:12.377506
515;20.4;64;2022-05-02 20:14:48.341751
516;20.2;64;2022-05-02 20:15:22.939485
517;20.5;64;2022-05-02 20:15:46.910280
518;20.4;64;2022-05-02 20:17:19.385785
519;20.3;64;2022-05-02 20:18:20.203084
520;20.4;64;2022-05-02 20:21:17.351042
521;20.4;65;2022-05-02 20:21:17.357846
522;20.4;62;2022-05-02 20:25:03.773592
523;20.3;62;2022-05-02 20:27:27.118717
524;20.3;64;2022-05-02 20:27:27.129797
525;20.3;64;2022-05-02 20:30:45.372727
526;20.2;64;2022-05-02 20:30:56.570963
527;20.2;60;2022-05-02 20:30:56.630040
528;20.1;60;2022-05-02 20:31:51.315735
529;20.4;60;2022-05-02 20:32:19.781116
530;20.0;60;2022-05-02 20:35:07.617542
531;20.0;59;2022-05-02 20:35:07.628560
532;20.3;59;2022-05-02 20:35:53.083184
533;20.3;63;2022-05-02 20:36:45.851521
534;20.1;63;2022-05-02 20:39:42.987306
535;20.0;63;2022-05-02 20:40:54.660829
536;20.1;63;2022-05-02 20:42:44.127076
537;20.1;60;2022-05-02 20:42:44.131018
538;20.1;64;2022-05-02 20:49:05.406976
539;20.1;61;2022-05-02 20:52:55.367686
540;20.2;61;2022-05-02 21:01:23.206910
541;20.2;62;2022-05-02 21:02:09.969269
542;20.3;62;2022-05-02 21:03:06.905252
543;20.2;62;2022-05-02 21:08:46.565872
544;20.2;65;2022-05-02 21:08:46.590035
545;20.2;63;2022-05-02 21:12:38.105480
546;20.2;66;2022-05-02 21:22:10.947153
547;20.2;65;2022-05-02 21:25:19.584645
548;20.2;64;2022-05-02 21:27:43.642041
549;20.2;66;2022-05-02 21:29:51.436140
550;20.2;65;2022-05-02 21:47:20.956441
551;20.3;65;2022-05-02 22:12:34.066949
552;20.3;65;2022-05-02 22:12:34.072716
553;20.3;66;2022-05-02 22:15:53.950632
554;20.2;66;2022-05-02 23:00:31.315759
555;20.2;67;2022-05-02 23:02:46.391196
556;20.3;67;2022-05-02 23:08:21.254490
557;20.3;66;2022-05-02 23:12:32.328758
558;20.2;66;2022-05-02 23:23:02.420817
559;20.1;66;2022-05-02 23:41:31.608448
560;20.2;66;2022-05-02 23:44:00.710074
561;20.1;66;2022-05-02 23:50:14.482703
562;20.1;67;2022-05-02 23:54:40.648195
563;20.0;67;2022-05-03 01:02:33.638044
564;20.1;67;2022-05-03 01:04:02.214727
565;20.0;67;2022-05-03 01:06:04.932765
566;20.0;68;2022-05-03 01:22:09.014503
567;19.9;68;2022-05-03 02:16:41.652986
568;19.9;66;2022-05-03 02:19:02.459681
569;20.0;66;2022-05-03 02:22:43.742839
